Gene	sample 1	sample 2	sample 3	sample 4	sample 5	sample 6	sample 7	sample 8	sample 9	sample 10	sample 11	sample 12
NPFFR2	0	1	0	1	0	0	0	0	0	1	0	0
PHF21B	23	27	32	23	39	25	15	21	36	28	21	19
TRAF1	63	95	58	58	37	50	63	63	60	51	68	54
RC3H2	2177	2529	2153	1584	3029	2406	3479	2510	2910	2720	3237	3830
IL17RB	437	334	344	225	419	323	345	296	358	270	362	288
TRAF3IP2	4223	4554	4830	4939	5286	5302	4709	5630	4667	4984	4583	5031
GYG2	434	520	539	596	630	780	668	815	662	762	644	693
DCBLD2	884	707	765	476	1180	781	889	556	1034	888	1057	1187
SERPINB3	0	0	0	0	0	0	0	0	0	0	0	0
SOAT1	857	734	615	314	766	779	793	551	739	743	1035	1032
PKP2	1055	1248	833	757	1349	1538	1198	1432	1195	1565	1290	1725
MSH4	1	0	0	1	1	1	0	0	0	0	1	0
F7	107	144	74	70	101	141	70	90	104	119	118	124
GDI2	41024	45819	39514	42507	51053	58106	49171	58964	51468	56844	50297	64724
PRDM1	5	11	3	5	12	2	0	3	4	5	9	10
ATG5	2424	2253	1672	1348	3488	3013	3006	3202	3447	3455	3776	3753
TMCC3	64	101	58	57	70	76	62	77	98	95	129	125
PITHD1	4172	4232	4434	3725	4680	4255	5080	4850	4504	4531	4555	5282
MTA3	8529	9115	9692	10132	10092	11097	8936	11146	8958	10404	8799	10533
USP13	2724	2990	2424	2379	3162	3337	2619	2980	2730	3092	2626	3391
ATP11B	1764	1743	1270	827	1657	1297	1463	1224	1536	1535	1747	1843
LAMC2	127	141	133	80	84	71	42	39	58	59	83	78
CDK14	5	7	0	1	11	8	8	1	4	0	5	11
SEC61A1	18483	14290	15434	11051	13497	11185	10203	7270	8651	7444	9399	7263
PPP1R12A	2169	2486	1282	937	2477	2486	2523	2245	2334	3253	3161	5068
RASGRF1	9	7	4	7	11	16	0	3	3	11	4	8
CAMK2B	484	606	619	520	648	755	642	664	385	503	449	590
CROCC	487	664	614	619	405	606	381	572	321	512	334	577
POLR3E	4567	4466	4529	4249	4441	4858	4793	5343	4687	4790	4523	5305
ATP2B4	728	910	737	505	828	636	645	464	661	658	754	744
ZC3H11A	12649	15238	9505	8590	14278	14903	13606	14638	13082	14973	15060	19594
RIOK2	3308	3159	3398	3154	3647	3808	3388	4584	3570	4326	4103	4852
YIPF1	3483	3071	2903	2137	4392	3236	3422	2879	3669	2849	3762	2610
NDC1	2835	2187	1800	966	2977	1980	2071	1632	2496	2077	3036	2187
DGKG	14	14	20	25	18	9	5	7	15	15	9	10
FLYWCH1	2054	2880	2561	3250	2356	3073	2000	2831	1953	2685	1685	2980
UNKL	2288	2513	2101	1844	2154	2094	1974	1899	1762	1926	1696	2158
TBXAS1	62	47	54	39	118	98	104	109	96	73	74	53
PARP12	2916	2844	6195	5489	4548	5082	5548	5651	4537	5092	5483	6922
ALDH18A1	6944	5806	6246	4327	5316	3580	4541	3436	4608	3999	4785	4264
TARBP1	1404	1604	923	920	1185	1345	951	1340	970	1134	1082	1282
GATB	1945	1687	1862	1838	1431	1380	1256	1370	1301	1276	1361	1414
MXD1	572	686	505	426	680	510	625	611	775	714	759	873
CDK17	1125	1122	870	583	1277	1531	1544	1290	1397	1624	1447	2497
DNAJC25	786	584	590	388	986	677	808	634	822	687	995	820
SLC2A3	6	7	11	7	10	9	9	7	3	16	8	7
PSD	257	309	307	367	279	253	209	300	194	231	207	290
CTDP1	1212	1446	1493	1584	1028	1498	1042	1468	957	1371	979	1619
YBX3	13931	15825	14688	15889	16182	18020	18264	18546	16432	17074	14321	19673
STYK1	201	157	236	177	207	246	237	201	256	221	280	248
WNK1	7935	10685	7980	8852	8954	10870	8972	10220	9254	11424	8594	13792
RPS17P5	3	0	0	1	0	1	0	0	2	1	0	1
CCAR1	6179	6469	6193	5018	7186	7054	6805	7894	7959	9253	8384	9808
OGFR	7232	8727	12129	12995	8176	10533	8276	10954	8250	10526	8005	12709
GNA15	45	45	76	115	128	136	86	119	106	124	78	83
CREB3L3	0	0	0	1	1	0	0	0	0	1	0	4
PIGV	804	663	835	514	1126	738	833	548	746	562	868	528
PTPRU	1702	1875	1221	1206	1250	1360	807	917	796	930	798	917
SNRNP40	5066	5251	4618	4484	5713	6205	5629	6414	5896	6016	5350	6170
RIMBP2	2	0	1	0	0	2	2	0	3	0	3	1
COL11A1	7	4	7	8	12	17	1	6	9	9	14	11
QSER1	1713	1979	1270	1032	2096	2261	2453	2268	2070	2672	2547	4694
MPC1	2765	2706	2751	2423	3800	3417	4171	3759	3378	2997	2903	3768
ACAA1	7008	7581	8632	9636	8109	10116	9167	11616	7063	8256	7213	9229
BCAT1	4	7	4	8	4	2	5	4	9	1	8	1
HDAC7	4556	4928	5322	5067	4106	4771	4637	5278	3986	4828	3937	5324
LZTS1	11	7	2	1	3	1	5	7	4	8	6	4
PRDM6	489	555	619	487	612	580	725	704	606	771	745	861
WNT8A	0	0	0	0	0	0	0	0	0	0	0	0
SPAG4	130	117	352	218	392	250	642	422	333	301	394	318
NCKAP1	8849	9771	7365	5349	10684	13179	10111	12238	10799	15323	12823	24041
MRPS35	7620	7341	7370	5960	8937	9211	9044	9655	9125	9638	9900	11558
GUCY1B3	7	4	1	3	3	10	1	6	2	5	10	3
SFSWAP	5508	6204	7176	6476	5047	5491	5549	5983	5450	5944	5010	5843
TNK2	3562	4637	3638	4280	3291	5281	3619	4951	2757	4358	2515	4902
MON2	1414	1711	958	756	1778	2116	1692	2056	1732	2570	2227	3508
CDH3	4488	3724	3309	2752	3170	3005	2224	2147	2294	2311	2475	2395
ARSF	0	0	2	0	3	3	0	0	0	0	0	0
GPBP1	6866	7082	5634	4316	8821	8281	8580	9387	8749	9692	9906	11275
DGAT2	1801	1732	1824	1524	1281	1145	1414	1171	823	732	1110	870
ZNF112	28	21	28	15	19	37	39	25	45	53	33	55
CS	40625	43455	30920	31115	40674	43184	37334	43352	36717	39045	35360	41599
LTK	6	5	5	9	1	4	6	2	0	0	4	3
MRPS24	9770	10961	11628	13340	10641	11231	10747	11492	10451	10358	9739	11101
ELMO2	2965	3217	3061	2916	2777	3175	3014	3415	3306	3445	2863	3408
WAPL	4203	5080	3311	3055	5453	5835	5409	5825	5690	6938	6164	7990
VMP1	20349	13337	17376	9201	23540	15531	19661	12970	18750	13994	21479	14466
APPBP2	24720	25542	23667	17828	34687	34192	36746	36600	31978	38918	40154	54790
POLD1	3993	4903	4955	5533	3948	5593	4466	6030	3378	4710	3436	5426
SEZ6	3	0	10	4	2	4	0	3	5	2	2	2
EIF4B	55507	59146	52029	47519	62935	60313	63469	66203	64028	64392	64040	75680
SLC6A16	17	22	37	17	25	15	17	21	26	13	26	25
BICRA	1006	1230	1217	1135	849	900	1025	915	812	988	751	1024
SPHK2	1153	1305	1320	1469	944	1092	1061	1285	810	1079	960	1389
RPL18	138560	130293	176983	174998	117147	103137	124392	107641	118278	99547	109032	107089
CA11	465	369	740	506	427	344	563	414	354	282	429	385
ISOC2	17108	18299	24818	26380	22380	22008	24975	26004	20569	21344	19915	23060
U2AF2	29910	33985	36759	40253	25259	33978	27214	34420	26685	35916	26218	42256
EPN1	13453	15355	18068	19030	12970	14357	15627	15276	11585	13019	11155	14576
MED29	5685	5472	6360	5980	6104	5193	6495	5911	5540	5451	5253	5518
AHRR	461	505	312	262	226	196	140	184	164	202	179	204
GSC2	0	1	0	1	0	0	0	0	0	0	0	1
ZNF275	1361	1508	1315	1218	1358	1149	1261	1245	1203	1465	1539	1568
MTMR1	4277	4731	4076	3709	4231	4666	4621	5035	3859	4529	4080	5693
GPC1	1137	1437	903	1040	762	835	573	598	463	673	495	722
ADCK1	1767	1512	1648	1330	1339	1261	1249	1087	1072	961	1232	953
HAGH	6381	6133	7523	7060	6075	7477	6965	8155	4686	5547	4710	5984
RNF4	6780	7015	6271	5953	7612	7123	8256	7703	7672	7419	7344	8415
CASP8	1590	1706	2005	1878	2323	2111	2534	2391	1835	2223	2099	2774
LIMCH1	125	128	89	77	268	216	238	228	249	221	236	279
INTS13	6032	5998	6446	6197	7156	7219	6578	7564	7302	7660	7288	7468
TM7SF3	7650	6182	5205	3361	7523	5286	5060	3714	5570	4201	6133	3941
DLX3	1644	1765	1706	1603	1640	1652	1541	1527	1519	1507	1227	1472
SPA17	652	677	912	835	781	687	805	836	947	788	840	893
TSPAN32	1	3	5	7	0	3	0	2	0	2	0	2
WISP2	1892	1358	1850	1235	925	681	769	529	1008	778	1346	986
DMRT3	0	0	3	0	0	0	0	0	0	1	0	1
ST3GAL6	8	4	0	0	0	0	0	0	0	1	2	4
ATP2C2	1818	1847	1194	1050	1966	2091	1452	1443	1289	1280	1473	1451
NGFR	45	76	66	64	39	29	32	14	22	28	37	47
CDON	203	267	245	169	313	230	247	152	190	228	273	204
TAF2	2211	2692	1468	1236	2604	2633	2577	2671	2561	3006	2839	3442
HIPK2	1765	2249	1435	1515	1817	2189	1919	1896	1626	1937	1538	2478
TNPO3	8172	9375	8677	8336	10280	10801	10703	11522	9756	11135	9791	11649
BORCS8-MEF2B	622	644	743	539	709	566	658	679	589	518	596	561
RFXANK	6011	6059	8771	9326	6573	7669	8711	8928	7380	7026	6348	7128
TMEM161A	1421	1176	1134	792	995	954	606	616	638	699	708	670
LPAR2	3706	2965	3742	2772	3371	2522	2857	1945	2857	2221	2990	2144
CTSA	10150	6713	8668	5333	7398	5407	4780	3355	4292	3304	4994	3355
SUGP2	3946	4632	4001	3603	4126	4619	4349	4607	3722	4253	3426	4625
SLC12A2	4275	4017	1720	1224	4492	4131	3832	3233	2999	3364	4127	5033
SNX24	1621	1479	1798	1410	2191	1710	2365	1906	1974	1703	2124	2361
EYA2	1053	1287	973	1116	1389	1626	1293	1593	1261	1529	1020	1266
CNN2	7011	7919	6639	7706	4547	5648	4479	5311	4955	6411	4667	6861
ABCA7	482	656	595	580	549	698	494	729	388	454	436	512
SNCAIP	38	65	60	49	37	41	58	76	67	52	61	51
DDX20	2437	2602	1844	1815	2958	3118	2894	3275	3001	3943	3698	4281
BTBD1	6497	6164	4058	2706	7490	6849	8420	7228	7956	8897	9492	12179
FAR2	110	113	128	114	144	120	103	168	120	138	178	243
BCAS1	8092	9473	5767	6076	10585	11928	10563	12648	10420	11814	9439	11765
POU1F1	0	0	1	1	0	0	0	0	2	2	0	2
CHI3L2	0	3	2	5	0	0	2	2	0	0	0	1
SBNO2	4572	6039	5452	5234	3668	4908	3905	5314	3781	5048	3610	5667
PMS1	1123	1037	853	688	1274	1212	1244	1389	1330	1475	1518	2098
HMG20B	20669	22519	22806	23655	22582	26111	25016	29219	17533	19512	16798	21574
CALCRL	3	3	10	1	0	4	1	0	3	2	8	1
TAF11	7062	6476	7135	5878	7867	6334	8260	7433	7695	7560	8996	7385
ANKS1A	1216	1526	798	818	1371	1725	1373	1629	1443	1674	1389	1914
AP3D1	8304	11335	7959	9655	7033	10099	7174	9893	6851	9712	6028	10643
ZNF76	2720	2784	3393	3268	2737	2564	2979	2977	2599	2765	2290	2579
SLC9A3R2	25024	30639	32404	37855	24464	32478	29474	37161	23386	30420	23237	35177
NTHL1	3959	4842	4234	5092	3853	5254	4143	5246	3738	4699	3465	5281
UHRF1BP1	2165	2906	1939	2201	2530	3026	2310	3074	2383	3347	2678	3998
GNAI3	7132	7406	4738	4175	10549	11917	9914	11191	9899	12716	11885	19935
IPO5	6881	8026	6451	6247	7599	9127	7059	9386	7741	9366	8120	9769
OAT	3890	4187	1721	1713	4804	6370	4591	5792	4637	5922	4990	7625
WDR3	5373	5788	3875	3554	4767	5720	4574	5812	5100	6408	5631	6988
PKN2	788	889	472	246	995	1071	1236	1018	1061	1354	1143	2596
WDR18	3231	4645	3975	5030	3181	4454	3087	4100	2882	3832	2609	4435
TRAM2	1404	1527	1017	858	1540	1421	1067	1030	1185	1181	1350	1334
NTN1	632	703	546	479	343	429	238	304	216	284	257	332
GLP2R	98	54	59	60	121	38	83	62	112	82	103	55
MCM10	4446	5285	4018	3639	4609	4884	4846	5390	5388	6272	5632	7468
DGKA	1009	1007	1305	1134	1391	1563	1686	1873	1310	1397	1306	1506
ERBB3	10530	10057	9410	7666	10966	9290	8154	6703	7389	6890	8539	7063
ROPN1	2	1	2	2	1	3	4	3	1	1	5	2
ANKRD44	78	58	61	39	94	100	95	89	91	87	94	137
KARS	36751	42793	41159	49688	37843	44147	37426	46655	41544	44941	36768	43352
ADAT1	2156	2256	2673	1975	2545	2429	2711	2687	2511	2495	2476	2559
PDIA5	2126	1561	1901	1059	2108	1352	1629	1185	1444	1107	1537	1015
TBC1D22B	1297	1298	1471	1088	1434	1116	1516	1163	1419	1390	1353	1305
NDUFB4	33251	27466	39077	32199	33953	26123	40278	32019	32962	25196	31809	26233
SPEN	2683	3581	2443	2902	2573	3331	2520	2890	2395	2916	2299	3160
MYLK	197	193	199	149	219	208	177	193	225	279	266	253
ZC3H15	18890	20563	15942	15087	20491	23874	21521	25347	22382	26125	24100	35861
MAP2K4	2260	2208	1958	1545	2704	2435	2930	2795	2937	2866	3474	3406
TMEM206	470	364	397	234	471	381	399	303	384	357	449	307
SNAP91	4	6	3	2	0	1	0	1	0	0	2	1
SLK	3191	4123	2364	2240	3315	3744	3233	3772	3441	4103	3677	5793
CYB5R4	861	948	602	524	1006	1180	983	1344	1051	1493	1420	2406
COL17A1	25	20	28	13	10	20	52	29	25	29	23	22
GSTO2	5796	5934	7098	7087	7337	6795	6528	6949	6858	6441	6400	6419
SEC61A2	733	555	574	322	650	553	491	422	642	611	727	606
PRKCQ	0	0	0	1	0	0	0	0	0	0	0	1
TLE2	1758	1942	1877	2036	2025	2575	2033	2491	1553	1900	1194	1846
ASB1	1775	1875	1788	1821	1665	1692	1844	1874	1680	1760	1667	1961
FAM107B	1839	1626	1480	1115	1656	1336	1470	1474	1615	1753	1970	2114
ME1	8680	9760	6526	7240	8533	9963	7126	10438	9475	11357	9490	12668
TBC1D1	3796	4325	3765	4085	4895	5462	4907	5824	4999	5530	5143	5795
CDK13	1865	2325	1678	1690	2312	2759	2287	2539	2206	2787	2379	3381
MTHFD2	12218	12294	10992	8507	15991	16294	17066	16559	14983	16618	16591	23245
SLC9A7	2535	2459	1727	1296	2598	2077	2030	1638	1752	1657	2345	2025
FOXJ2	2039	2466	2057	2174	2158	2551	2220	2644	2487	2875	2728	3147
YBX1	69893	75717	83236	90354	83125	88992	88994	89564	86448	88661	71893	93997
PDE4A	1169	1326	1503	1566	1326	1474	1709	1703	1397	1466	1249	1583
PPP2R5A	4226	3852	4349	3112	5574	4399	5807	5214	5024	5530	5832	6416
CTNNA2	3	0	2	0	0	2	0	0	0	2	0	0
ELAVL1	5898	7060	6276	6656	7414	9232	7815	9506	7796	9310	7029	13169
TIE1	1	3	5	4	3	4	6	0	9	2	0	3
DIP2B	4917	6533	3837	4532	4694	5653	4354	5995	4553	6440	4961	7156
SMARCD1	6501	6942	6456	5936	5799	5884	5733	5947	5574	5820	4886	5735
KDM4A	2477	2727	2738	2602	2961	3095	2990	3198	3110	3176	2675	3036
NFYC	5038	5562	6098	6734	5259	6005	5245	6182	4827	5041	4175	5511
ZMYND12	10	20	24	20	17	27	36	40	22	26	18	21
SLC9A3	16	26	6	4	1	9	6	8	3	2	5	11
NGEF	298	374	537	577	299	487	318	399	377	507	319	490
ASPM	2364	3147	1797	1620	3103	3843	2352	3250	2596	4319	3423	5423
CD84	3	4	2	0	1	7	3	6	16	7	2	3
ELOVL1	6217	4758	5341	4171	5978	4994	4645	3667	4800	3991	4743	3463
SPI1	7	4	10	11	1	9	1	2	0	8	4	5
ZNRD1	3385	3762	4043	4381	3758	3938	3926	4354	3642	3737	3389	3844
MPPED2	1534	1691	1149	1084	1385	1148	1326	1270	1149	1220	1280	1623
CLDN18	10	5	1	1	8	5	0	2	4	2	2	3
ZBTB11	1350	1410	791	510	1492	1699	1503	1443	1612	2069	1830	3522
ATXN3	3579	3574	3841	3356	3990	3952	3593	3814	3967	4094	3863	4532
GOLGA5	9210	9680	9368	8847	11375	11819	11556	13582	11778	13022	11951	13389
FGFR2	380	362	277	159	224	200	130	158	308	210	249	199
LRRC40	512	575	411	264	717	867	762	804	786	1038	827	1391
ISOC1	14458	13980	14010	11486	18753	17958	18906	17510	15772	16069	16929	19026
EML1	1700	1803	1354	1169	2387	2571	3006	2772	2302	2458	2672	3057
TRMT11	732	764	635	540	903	923	650	909	766	971	952	1031
THUMPD1	3204	3452	3407	2553	3451	3440	3401	3385	3539	4193	4175	5895
MSANTD3	2801	2641	2668	2271	3257	2699	3500	2936	3556	2971	3279	3136
KIF26A	4216	6371	4342	5508	3338	5183	3892	4967	3008	4571	3257	6133
ATG2B	1620	2128	1181	1100	1667	2083	1523	2089	1318	1953	1803	3093
ARFGEF1	1204	1397	853	642	1470	1616	1458	1574	1392	1759	1723	2435
ACSM2B	30	25	33	9	30	22	30	21	21	13	22	16
ZFAT	1095	1386	999	1182	981	1160	1087	1259	793	1091	886	1210
MTFR1	2090	1794	1793	1345	2585	2357	2562	2233	2724	2440	2598	3054
STAG3	67	81	23	32	45	56	28	33	36	36	36	65
FECH	3111	3149	2855	2370	4079	4820	3847	4622	3667	4331	3879	5174
MYO9A	2256	2851	1794	1729	2521	2678	2168	2490	2306	2958	2453	3068
DDX3Y	0	0	0	0	0	0	0	0	0	0	0	0
PFKP	19089	20116	23513	24084	21207	26092	23317	27685	19588	23027	18949	23803
IDI1	18547	15434	13854	9659	13847	13181	15241	13274	14404	15031	13969	19849
SP100	1417	1472	2813	2875	2737	3171	2954	3664	2839	3258	3436	4126
KLF6	1589	1316	1358	908	2216	1929	2067	1900	2246	2497	2440	2761
PLPP1	644	447	500	353	727	477	375	352	445	402	474	380
